დასახელება,მახასიათებლები,ფასი ლარებში-დოლარებში
იყიდება 2016 წლიანი Chevrolet Cruze   რუსთავში,"
 56 კმ
 ავტომატიკა
 1.4 ბენზინი
 მარცხენა
","
 7 520
21 500


₾

$"
იყიდება 2017 წლიანი Chevrolet Malibu   რუსთავში,"
 123 კმ
 ავტომატიკა
 1.5 ბენზინი
 მარცხენა
","
 7 520
21 500


₾

$"
იყიდება 2016 წლიანი Hyundai Sonata   რუსთავში,"
 112 კმ
 ავტომატიკა
 2.4 ბენზინი
 მარცხენა
","
 7 320
20 900


₾

$"
იყიდება 2014 წლიანი Toyota Camry   რუსთავში,"
 222 კმ
 ავტომატიკა
 2.5 ბენზინი
 მარცხენა
","
 8 820
25 200


₾

$"
იყიდება 2019 წლიანი Volkswagen Passat   რუსთავში,"
 54400 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 11 700
33 500


₾

$"
იყიდება 2014 წლიანი Toyota Prius   რუსთავში,"
 79 კმ
 ავტომატიკა
 1.5 ბენზინი
 მარცხენა
","
 7 620
21 800


₾

$"
იყიდება 2016 წლიანი Volkswagen Tiguan   რუსთავში,"
 96000 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 9 720
27 800


₾

$"
იყიდება 2017 წლიანი Hyundai Tucson   რუსთავში,"
 104000 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 12 500
35 800


₾

$"
იყიდება 2017 წლიანი Nissan Rogue   რუსთავში,"
 57 კმ
 ავტომატიკა
 2.5 ბენზინი
 მარცხენა
","
 13 000
37 300


₾

$"
იყიდება 2014 წლიანი BMW 328   რუსთავში,"
 145600 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 2 700
7 720


₾

$"
იყიდება 2018 წლიანი Volkswagen Tiguan   რუსთავში,"
 32 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 15 200
43 600


₾

$"
იყიდება 2020 წლიანი Chevrolet Malibu   რუსთავში,"
 20800 კმ
 ავტომატიკა
 1.5 ბენზინი
 მარცხენა
","
 11 500
33 000


₾

$"
იყიდება 2015 წლიანი Hyundai Elantra   რუსთავში,"
 102 კმ
 ავტომატიკა
 1.8 ბენზინი
 მარცხენა
","
 7 820
22 400


₾

$"
იყიდება 2020 წლიანი Volkswagen Tiguan   რუსთავში,"
 26 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 18 000
51 600


₾

$"
იყიდება 2019 წლიანი Volkswagen Tiguan   რუსთავში,"
 82 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 15 800
45 300


₾

$"
იყიდება 2014 წლიანი Hyundai Elantra   რუსთავში,"
 107 კმ
 ავტომატიკა
 1.8 ბენზინი
 მარცხენა
","
 7 220
20 600


₾

$"
იყიდება 2015 წლიანი Hyundai Elantra   რუსთავში,"
 128 კმ
 ავტომატიკა
 1.8 ბენზინი
 მარცხენა
","
 7 220
20 600


₾

$"
იყიდება 2015 წლიანი Mazda 6   რუსთავში,"
 219 კმ
 ავტომატიკა
 2.5 ბენზინი
 მარცხენა
","
 7 920
22 600


₾

$"
იყიდება 2015 წლიანი Hyundai Elantra   რუსთავში,"
 148800 კმ
 ავტომატიკა
 1.8 ბენზინი
 მარცხენა
","
 7 720
22 100


₾

$"
იყიდება 2014 წლიანი Ford Fusion   თბილისში,"
 127980 კმ
 ავტომატიკა
 2.0 დატენვადი ჰიბრიდი
 მარცხენა
","
 9 700
27 700


₾

$"
იყიდება 2015 წლიანი Kia Optima   ბათუმში,"
 311040 კმ
 ავტომატიკა
 2.4 ბენზინი
 მარცხენა
","
 6 800
19 400


₾

$"
იყიდება 2017 წლიანი Hyundai Santa Fe   რუსთავში,"
 128000 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 15 100
43 200


₾

$"
იყიდება 2015 წლიანი Mercedes-Benz C 300   რუსთავში,"
 184 კმ
 ავტომატიკა
 2.5 ბენზინი
 მარცხენა
","
 18 600
53 200


₾

$"
